,animal,session_clear,heart_rate,gsr,delay,stamp,change,start,session,end,session_se,calculated,hr_ref,hr_dif
190,Vcela,52,92.90625,1.066666666,5.333333333,,0.166666667,0,52,0,52,0.8125,101.23168,-8.325429983
191,Vcela,54,86.17307692,473.3846154,1.4,,0.1,0,54,0,54,0.230769231,77.58333333,8.58974359
192,Vcela,55,73.94736842,199.1052632,1,,0.052631579,0,55,0,55,0,84.52840955,-10.58104113
193,Vcela,57,98.75,201.1060268,1.75,,0.125,0,57,0,57,0.428571429,93.82884615,4.921153846
194,Vcela,58,94.44444444,310.6111111,1,,0.055555556,0,58,0,58,0,98.75,-4.305555556
195,Vcela,59,69.76470588,121.1764706,1,,0.058823529,0,59,0,59,0,71.66666667,-1.901960784
196,Vcela,60,98.71428571,101.0571429,19.33333333,,0.333333333,0,60,0,60,0.914285714,96.25047348,2.463812229
197,Vcela,63,82.44444444,340.25,1,,0.027777778,0,63,0,63,0,85.86363636,-3.419191919
198,Vcela,64,73.42857143,-0.076923077,1,,0.071428571,0,64,0,64,0,68.36363636,5.064935065
199,Vcela,66,77,0,1,,0.166666667,0,66,0,66,0,69.66666667,7.333333333
200,Vcela,67,78.56097561,-0.225,1.051282051,,0.025641026,0,67,0,67,0.048780488,81.75757576,-3.196600148
201,Vcela,71,78.5,229.3333333,1,,0.071428571,0,71,0,71,0,85.28030303,-6.78030303
202,Vcela,72,78.6,357.15,1,,0.05,0,72,0,72,0,78.97727273,-0.377272727
203,Vcela,73,74.5,204.7222222,1,,0.055555556,0,73,0,73,0,76.93939394,-2.439393939
204,Vcela,74,90.09722222,81.79166667,1.125,,0.0625,0,74,0,74,0.111111111,83.90151515,6.195707071
205,Vcela,75,83.5,54.03333333,1.071428571,,0.071428571,0,75,0,75,0.066666667,77.72537879,5.774621212
206,Vcela,77,74.3125,130,1.066666667,,0.066666667,0,77,0,77,0.0625,64.45454545,9.857954545
207,Vcela,78,65.77777778,43.23529412,1,,0.055555556,0,78,0,78,0,65.98484848,-0.207070707
208,Vcela,79,87.875,-0.375,1.333333333,,0.333333333,0,79,0,79,0.25,86.86538462,1.009615385
209,Vcela,80,84.19047619,216.6190476,1,,0.047619048,0,80,0,80,0,87.05681818,-2.866341991
210,Vcela,81,92.99184783,377.9592391,1.333333333,,0.055555556,0,81,0,81,0.217391304,87.27272727,5.719120553
211,Vcela,82,113,233,1,,1,0,82,0,82,0,109.9163462,3.083653846
212,Vcela,83,98.00405093,37.96701389,1.6875,,0.0625,0,83,0,83,0.407407407,92.60984848,5.394202441
213,Vcela,84,94.70588235,-0.352941176,1,,0.058823529,0,84,0,84,0,97.97253788,-3.266655526
214,Vcela,85,90.61904762,110.8571429,1.1,,0.05,0,85,0,85,0.047619048,84.76515152,5.853896104
215,Vcela,86,87.18421053,42.68421053,1.055555556,,0.055555556,0,86,0,86,0.052631579,83.02840909,4.155801435
216,Vcela,87,81.33336046,12.94441732,3,,0.166666667,0,87,0,87,0.666666667,76.09848485,5.234875612
217,Vcela,88,82.16927082,15.70399307,4.5,,0.125,0,88,0,88,0.777777778,74.28787879,7.881392029
218,Vcela,90,71.875,0.5,1,,0.0625,0,90,0,90,0,72.96969697,-1.09469697
219,Vcela,91,82.55714286,-0.544117647,1.060606061,,0.03030303,0,91,0,91,0.057142857,80.92045455,1.636688312
220,Wolf,2,89.34999987,106.4055555,3,,0.1,0,2,0,2,0.666666667,88.53571429,0.814285587
221,Wolf,3,76.05555556,236,1,,0.055555556,0,3,0,3,0,75.34090909,0.714646465
222,Wolf,7,98.58333333,259.0416667,1,,0.041666667,0,7,0,7,0,101.9469697,-3.363636364
223,Wolf,9,71.15,0,1,,0.05,0,9,0,9,0,69.49621212,1.653787879
224,Wolf,11,99.78405231,-0.391389266,2.875,,0.125,0,11,0,11,0.652173913,85.96969697,13.81435534
225,Wolf,15,89.76,95.92,1.136363636,,0.045454545,0,15,0,15,0.12,87.20370377,2.556296234
226,Wolf,16,78.26315789,3.578947368,1,,0.052631579,0,16,0,16,0,72.56060606,5.702551834
227,Wolf,17,104.4285714,-0.071428571,1.05,,0.025,0,17,0,17,0.047619048,110.2287234,-5.800151976
228,Wolf,18,97.03125,0.080645161,1.032258065,,0.032258065,0,18,0,18,0.03125,93.5959596,3.435290404
229,Wolf,19,80.9,157.05,1,,0.05,0,19,0,19,0,80.60984848,0.290151515
230,Wolf,22,84.20406627,0.048192771,1.185714286,,0.014285714,0,22,0,22,0.156626506,86.76515152,-2.56108525
231,Wolf,24,97.47058824,144.5882353,1,,0.058823529,0,24,0,24,0,98.08601409,-0.615425858
232,Wolf,25,112.8765625,0,1.785714286,,0.071428571,0,25,0,25,0.44,116.5,-3.6234375
233,Wolf,30,93.92592593,273.0666667,1,,0.037037037,0,30,0,30,0,94.40116279,-0.475236865
234,Wolf,38,107,,2.333333333,,0.111111111,0,38,0,38,0,113.9704545,-6.970454545
235,Wolf,39,89.57894737,,1,,0.052631579,0,39,0,39,0,86.87234043,2.706606943
236,Wolf,40,99.39130435,,1,,0.043478261,0,40,0,40,0,98.98076923,0.410535117
237,Wolf,41,99.23913043,,1.173913043,,0.043478261,0,41,0,41,0,100.6538462,-1.414715719
238,Wolf,43,86.59027778,-0.1875,1.583333333,,0.083333333,0,43,0,43,0.333333333,80.97272727,5.617550505
239,Wolf,44,79.725,0,2.5,,0.5,0,44,0,44,0.6,81.82007576,-2.095075758
240,Wolf,45,79.11111111,0,1,,0.055555556,0,45,0,45,0,75.81818182,3.292929293
241,Wolf,46,99.10869565,112.7205882,1.15,,0.05,0,46,0,46,0.130434783,101.4867424,-2.378046772
242,Wolf,49,75.61111111,-0.166666667,1,,0.055555556,0,49,0,49,0,68.71212121,6.898989899
